anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados,anho_cod_geo
2012,16,BOQUERON,1657,FERNHEIN,1,URBANA,PRIV.SUBVENCIONADA,7,2002
2012,16,BOQUERON,1657,FERNHEIN,1,URBANA,PRIV.SUBVENCIONADA,144,2012
2012,16,BOQUERON,1657,FERNHEIN,6,RURAL,OFICIAL,448,2002
2012,16,BOQUERON,1657,FERNHEIN,6,RURAL,OFICIAL,98,2012
2012,16,BOQUERON,1604,FILADELFIA,1,URBANA,PRIV.SUBVENCIONADA,372,2012
2012,16,BOQUERON,1604,FILADELFIA,1,URBANA,PRIVADA,340,2012
2012,16,BOQUERON,1604,FILADELFIA,1,URBANA,OFICIAL,121,2012
2012,16,BOQUERON,1604,FILADELFIA,6,RURAL,PRIVADA,100,2012
2012,16,BOQUERON,1604,FILADELFIA,6,RURAL,PRIV.SUBVENCIONADA,287,2012
2012,16,BOQUERON,1604,FILADELFIA,6,RURAL,OFICIAL,168,2012
2012,16,BOQUERON,1603,GRAL. E. A.GARAY,6,RURAL,PRIV.SUBVENCIONADA,20,2012
2012,16,BOQUERON,1603,GRAL. E. A.GARAY,6,RURAL,OFICIAL,19,2002
2012,16,BOQUERON,1605,LOMA PLATA,1,URBANA,OFICIAL,730,2012
2012,16,BOQUERON,1605,LOMA PLATA,1,URBANA,PRIVADA,888,2012
2012,16,BOQUERON,1605,LOMA PLATA,6,RURAL,OFICIAL,2145,2012
2012,16,BOQUERON,1605,LOMA PLATA,6,RURAL,PRIVADA,742,2012
2012,16,BOQUERON,1605,LOMA PLATA,6,RURAL,PRIV.SUBVENCIONADA,547,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,6,RURAL,OFICIAL,2440,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,1,URBANA,OFICIAL,128,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,1,URBANA,PRIV.SUBVENCIONADA,302,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,1,URBANA,PRIVADA,189,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,6,RURAL,PRIVADA,199,2012
2012,16,BOQUERON,1602,MARISCAL ESTIGARRIBIA,6,RURAL,PRIV.SUBVENCIONADA,1991,2012
2012,16,BOQUERON,1656,MENNO,6,RURAL,PRIVADA,41,2012
2012,16,BOQUERON,1656,MENNO,6,RURAL,PRIVADA,40,2002
2012,16,BOQUERON,1656,MENNO,6,RURAL,OFICIAL,25,2012
2012,16,BOQUERON,1656,MENNO,1,URBANA,PRIVADA,32,2002
2012,16,BOQUERON,1658,NEULAND,6,RURAL,PRIVADA,160,2002
2012,16,BOQUERON,1658,NEULAND,1,URBANA,PRIVADA,13,2012
2012,16,BOQUERON,1658,NEULAND,6,RURAL,PRIV.SUBVENCIONADA,6,2002
2012,05,CAAGUAZU,0518,3 DE FEBRERO,1,URBANA,OFICIAL,537,2012
2012,05,CAAGUAZU,0518,3 DE FEBRERO,6,RURAL,OFICIAL,1572,2012
2012,05,CAAGUAZU,0502,CAAGUAZU,1,URBANA,OFICIAL,17294,2012
2012,05,CAAGUAZU,0502,CAAGUAZU,1,URBANA,PRIV.SUBVENCIONADA,2532,2012
2012,05,CAAGUAZU,0502,CAAGUAZU,6,RURAL,OFICIAL,10628,2012
2012,05,CAAGUAZU,0502,CAAGUAZU,1,URBANA,PRIVADA,1520,2012
2012,05,CAAGUAZU,0503,CARAYAO,6,RURAL,OFICIAL,3431,2012
2012,05,CAAGUAZU,0503,CARAYAO,1,URBANA,OFICIAL,1138,2012
2012,05,CAAGUAZU,0504,CECILIO BAEZ,1,URBANA,OFICIAL,818,2012
2012,05,CAAGUAZU,0504,CECILIO BAEZ,6,RURAL,OFICIAL,1150,2012
2012,05,CAAGUAZU,0504,CECILIO BAEZ,6,RURAL,PRIV.SUBVENCIONADA,14,2012
2012,05,CAAGUAZU,0504,CECILIO BAEZ,1,URBANA,PRIV.SUBVENCIONADA,107,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,6,RURAL,PRIVADA,250,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,6,RURAL,OFICIAL,23,2002
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,6,RURAL,OFICIAL,8567,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,1,URBANA,OFICIAL,15779,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,1,URBANA,PRIV.SUBVENCIONADA,4570,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,1,URBANA,PRIVADA,1875,2012
2012,05,CAAGUAZU,0501,CORONEL OVIEDO,6,RURAL,PRIV.SUBVENCIONADA,273,2012
2012,05,CAAGUAZU,0512,DR. J. EULOGIO ESTIGARRIBIA,6,RURAL,OFICIAL,21,2012
2012,05,CAAGUAZU,0506,DR. JUAN MANUEL FRUTOS,6,RURAL,OFICIAL,3306,2012
2012,05,CAAGUAZU,0506,DR. JUAN MANUEL FRUTOS,1,URBANA,PRIVADA,46,2012
2012,05,CAAGUAZU,0506,DR. JUAN MANUEL FRUTOS,1,URBANA,OFICIAL,2247,2012
2012,05,CAAGUAZU,0506,DR. JUAN MANUEL FRUTOS,6,RURAL,PRIV.SUBVENCIONADA,32,2012
2012,05,CAAGUAZU,0512,J EULOGIO ESTIGARRIBIA,1,URBANA,PRIV.SUBVENCIONADA,797,2012
2012,05,CAAGUAZU,0512,J EULOGIO ESTIGARRIBIA,6,RURAL,PRIVADA,216,2012
2012,05,CAAGUAZU,0512,J EULOGIO ESTIGARRIBIA,1,URBANA,OFICIAL,3931,2012
2012,05,CAAGUAZU,0512,J EULOGIO ESTIGARRIBIA,1,URBANA,PRIVADA,536,2012
2012,05,CAAGUAZU,0512,J EULOGIO ESTIGARRIBIA,6,RURAL,OFICIAL,3409,2012
2012,05,CAAGUAZU,0515,JOSE DOMINGO OCAMPOS,6,RURAL,OFICIAL,1921,2012
2012,05,CAAGUAZU,0515,JOSE DOMINGO OCAMPOS,1,URBANA,OFICIAL,698,2012
2012,05,CAAGUAZU,0517,LA PASTORA,6,RURAL,OFICIAL,1251,2012
2012,05,CAAGUAZU,0516,MARISCAL FRANCISCO SOLANO LOPE,1,URBANA,OFICIAL,238,2012
2012,05,CAAGUAZU,0516,MARISCAL FRANCISCO SOLANO LOPE,6,RURAL,OFICIAL,1252,2012
2012,05,CAAGUAZU,0508,NUEVA LONDRES,6,RURAL,OFICIAL,392,2012
2012,05,CAAGUAZU,0508,NUEVA LONDRES,1,URBANA,OFICIAL,351,2012
2012,05,CAAGUAZU,0522,NUEVA TOLEDO,6,RURAL,PRIV.SUBVENCIONADA,24,2012
2012,05,CAAGUAZU,0522,NUEVA TOLEDO,1,URBANA,PRIVADA,86,2012
2012,05,CAAGUAZU,0522,NUEVA TOLEDO,1,URBANA,OFICIAL,383,2012
2012,05,CAAGUAZU,0522,NUEVA TOLEDO,6,RURAL,OFICIAL,759,2012
