IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
53,26103,1,1,AUTOMOVIL,MITSUBISHI,,4D68RB6461,SNE57ARZ001215,GRIS,EAA 949,2836,142,31/12/1995,07.22854.01.0020,1,61760000,61760000,MALO,DEPARTAMENTO DE DE TRANSPORTE,1995
54,26103,1,2,CAMIONETA,TOYOTA,,2L-3474718,LN85-0127938,ROJO,EAA 951,2618,138,31/12/1994,07.22889.01.0019,1,33676000,33676000,MALO,ADQUISICION Y SUMINISTRO,1994
55,26103,1,2,CAMIONETA,MITSUBISHI,,4M40-AS7789,DHNV360SJ00389,AZUL,EAA 956,5487,147,31/12/1995,07.22870.00.0140,1,42269000,42269000,MALO,DEPARTAMENTO DE DE TRANSPORTE,1995
56,26103,1,2,CAMIONETA,MITSUBISHI,,4D56GS4878,DJNK340SP06186,GRIS,EAA 895,4502,165,31/12/1995,07.22890.01.0044,1,65300000,65300000,MALO,DEPARTAMENTO DE DE TRANSPORTE,1995
57,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GS5875,DJNK340SP-06297,GRIS,EAA 893,4503,166,31/12/1995,07.22890.01.0041,1,65300000,65300000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
58,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GP7712,DJKN340SP-03399,GRIS,EAA 900,5490,15,31/12/1995,07.22870.00.0134,1,32069392,32069392,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
59,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GS4148,DJNK340SP-06109,AZUL,,4505,168,31/12/1995,07.22890.01.0042,1,65300000,65300000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
60,26103,1,2,CAMIONETA,MITSUBISHI,1993,4D56-FM2722,DJNK-340PP03623,ROJO,,8473,,31/12/1993,07.22891.01.0071,1,48750000,48750000,MALO,DEPARTAMENTO DE DE TRANSPORTE,1993
61,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GS6364,DJNK340SP-06308,ROJO,EAA 889,4510,173,31/12/1995,07.22890.01.0053,1,65300000,65300000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
62,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56GS5727,DJNK340SP-06249,BLANCO,EAA 914,4511,174,31/12/1995,07.22890.01.0057,1,65300000,65300000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
63,26103,1,2,CAMIONETA,MITSUBISHI,,4D56-GS2733,DJNK340SP06304,BLANCO,EAA 915,,,31/12/1995,07.22890.01.0088,1,65300000,65300000,REGULAR,GESTION SOCIAL,1995
64,26103,1,1,AUTOMOVIL,DAEWO,1997,C22SEL25001372,KLANR1921VB-113821,GRISMET,EAA 920,4516,192,31/12/1995,07.22891.01.0064,1,49460400,49460400,MALO,SECRETARIA NACIONAL DE DEPORTE,1995
65,26103,1,2,CAMIONETA,MITSUBISHI,,4D56HH8708,DJNK340TP-03495,BLANCO,EAA 913,5497,177,31/12/1996,07.22869.01.0172,1,30925752,30925752,REGULAR,DIRECCION DE INFRAESTRUCTURA,1996
66,26103,1,2,CAMIONETA,MITSUBISHI,,4D56HJ1364,DJNK340TP-03714,GRIS,EAA903,5509,189,31/12/1995,07.22891.01.0005,1,30925752,30925752,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,1995
67,26103,1,2,CAMIONETA,MITSUBISHI,1996,4D56-HJ0080,DJNK340TP-03628,BLANCO,EAA 936,5499,179,31/12/1996,07.22869.01.0174,1,30925753,30925753,REGULAR,DIRECCION DE INFORMATICA,1996
68,26103,1,2,CAMIONETA,MITSUBISHI,1997,4M40CA7838,JMYHNV360VJ-000815,VERDE,EAA 944,8957,202,31/12/1997,07.22891.01.0067,1,91626500,91626500,BUENO,DEPARTAMENTO DE DE TRANSPORTE,1997
69,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-HH7641,DJNK340TP-03423,AZUL,EAA 933,5506,186,31/12/1995,07.22890.01.0010,1,30925753,30925753,MALO,DEPARTAMENTO DE DE TRANSPORTE,1995
70,26103,1,2,CAMIONETA,VW,,BJ439030,9BWZZZ23ZLP000374,BEIGE,,9001,25,31/12/2007,07.22890.01.0077,1,7000000,7000000,REGULAR,ADQUISICION Y SUMINISTRO,2007
71,26103,1,2,CAMIONETA,NISSAN,2005,TD42-177186,JN1TCSY61Z0544233,BORDO,EAD 694,9765,248,31/12/2005,07.23053.00.0073,1,204157800,204157800,BUENO,DIRECCION GENERAL,2005
72,26103,1,2,CAMIONETA,CHEVROLET,2005,40704177907,9BG138AC05C400748,BLANCO,EAD 605,,226,31/12/2005,07.23053.00.0056,1,111125000,111125000,REGULAR,COORDINACION DE SAN PEDRO,2005
73,26103,1,2,CAMIONETA,CHEVROLET,2005,40704178399,9BG138AC05C400772,BLANCO,EAD 606,9767,227,31/12/2005,07.23053.00.0057,1,111125000,111125000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
74,26103,1,2,CAMIONETA,CHEVROLET,2005,40704183670,9BG138BC05C404735,BLANCO,EAD 607,9768,22,31/12/2005,07.23053.00.0050,1,111125000,111125000,REGULAR,COORDINACION DE CONCEPCION,2005
75,26103,1,2,CAMIONETA,CHEVROLET,2005,40704194256,9BG116BC05C412220,BLANCO,EAD 608,9769,235,31/12/2005,07.23053.00.0072,1,149513635,149513635,BUENO,DEPARTAMENTO DE DE TRANSPORTE,2005
76,26103,1,2,CAMIONETA,CHEVROLET,2005,40704194843,9BG116BC05C411962,BLANCO,EAD 609,9770,241,31/12/2005,07.23053.00.0071,1,149513635,149513635,BUENO,COORDINACION DEPARTAMENTAL DE CANINDEYU,2005
77,26103,1,2,CAMIONETA,CHEVROLET,2005,40704202049,9BG138AC05C417607,BLANCO,EAD 625,9771,23,31/12/2005,07.23053.00.0060,1,111125000,111125000,REGULAR,DEPARTAMENTO DE DE TRANSPORTE,2005
78,26103,1,2,CAMIONETA,CHEVROLET,2005,40704202115,9BG138AC05C417760,BLANCO,EAD 626,9772,229,31/12/2005,07.23053.00.0059,1,111125000,111125000,MALO,ADQUISICION Y SUMINISTRO,2005
